name,run,domain_adapt,summary_json,emotion_acc,emotion_macro_f1,arousal2_mae,arousal3_mae,phase2_fusion_f1,delta_f1_vs_phase2,delta_f1_vs_v3_baseline
v4_logreg_coral_cross_crema_to_ravdess,cross_crema_to_ravdess,coral,derived/results/ml_baselines_phase35_v4_logreg_coral_cross_crema_to_ravdess/summary.json,0.26420454545454547,0.26043490269379194,0.38257575757575757,,0.22879563149425453,0.03163927119953741,0.09370326340800747
v5_logreg_coral_cross_crema_to_ravdess,cross_crema_to_ravdess,coral,derived/results/ml_baselines_phase35_v5_logreg_coral_cross_crema_to_ravdess/summary.json,0.3096590909090909,0.30247366636584244,0.3873106060606061,,0.22879563149425453,0.07367803487158792,0.13574202708005798
v8_hubert_logreg_coral_cross_crema_to_ravdess,cross_crema_to_ravdess,coral,derived/results/ml_baselines_phase35_v8_hubert_logreg_coral_cross_crema_to_ravdess/summary.json,0.3229166666666667,0.3206715697521032,0.39299242424242425,,0.22879563149425453,0.09187593825784868,0.15393993046631874
v3_logreg_baseline_cross_crema_to_ravdess,cross_crema_to_ravdess,none,derived/results/ml_baselines_phase35_v3_logreg_cross_crema_to_ravdess/summary.json,0.20170454545454544,0.11899536309461826,0.38446969696969696,,0.22879563149425453,-0.10980026839963626,-0.0477362761911662
v5_logreg_baseline_cross_crema_to_ravdess,cross_crema_to_ravdess,none,derived/results/ml_baselines_phase35_v5_logreg_cross_crema_to_ravdess/summary.json,0.23295454545454544,0.16673163928578447,0.3712121212121212,,0.22879563149425453,-0.06206399220847006,0.0
v4_logreg_coral_cross_ravdess_to_crema,cross_ravdess_to_crema,coral,derived/results/ml_baselines_phase35_v4_logreg_coral_cross_ravdess_to_crema/summary.json,0.2501007929041795,0.2421940820074381,0.4725274725274725,,0.07141204059213567,0.17078204141530245,0.0982654317672092
v5_logreg_coral_cross_ravdess_to_crema,cross_ravdess_to_crema,coral,derived/results/ml_baselines_phase35_v5_logreg_coral_cross_ravdess_to_crema/summary.json,0.2780540249966402,0.27238168007702757,0.4351648351648352,,0.07141204059213567,0.20096963948489188,0.12845302983679865
v8_hubert_logreg_coral_cross_ravdess_to_crema,cross_ravdess_to_crema,coral,derived/results/ml_baselines_phase35_v8_hubert_logreg_coral_cross_ravdess_to_crema/summary.json,0.32253729337454645,0.3187326054140357,0.45054945054945056,,0.07141204059213567,0.2473205648219,0.17480395517380679
v3_logreg_baseline_cross_ravdess_to_crema,cross_ravdess_to_crema,none,derived/results/ml_baselines_phase35_v3_logreg_cross_ravdess_to_crema/summary.json,0.1909689557855127,0.10660072758453328,0.6227106227106227,,0.07141204059213567,0.035188686992397605,-0.037327922655695636
v5_logreg_baseline_cross_ravdess_to_crema,cross_ravdess_to_crema,none,derived/results/ml_baselines_phase35_v5_logreg_cross_ravdess_to_crema/summary.json,0.21596559602204005,0.1439286502402289,0.6395604395604395,,0.07141204059213567,0.07251660964809324,0.0
